 1568: 2.824570, 3.217541 avg loss, 0.000051 rate, 11.784841 seconds, 802816 images, 23.023485 hours left
 1576: 3.149521, 3.210739 avg loss, 0.000052 rate, 11.944011 seconds, 806912 images, 22.938337 hours left
 1584: 3.052349, 3.194900 avg loss, 0.000053 rate, 11.741845 seconds, 811008 images, 22.855734 hours left
 1592: 3.022101, 3.177620 avg loss, 0.000054 rate, 12.038513 seconds, 815104 images, 22.771211 hours left
 1600: 3.152682, 3.175127 avg loss, 0.000055 rate, 11.881317 seconds, 819200 images, 22.690906 hours left
 1608: 3.554911, 3.213105 avg loss, 0.000056 rate, 22.353955 seconds, 823296 images, 22.609215 hours left
 1616: 3.241727, 3.215967 avg loss, 0.000057 rate, 21.616674 seconds, 827392 images, 22.655842 hours left
 1624: 3.235183, 3.217889 avg loss, 0.000058 rate, 21.799798 seconds, 831488 images, 22.692528 hours left
 1632: 3.110487, 3.207149 avg loss, 0.000059 rate, 21.438538 seconds, 835584 images, 22.730592 hours left
 1640: 3.109316, 3.197365 avg loss, 0.000060 rate, 21.673064 seconds, 839680 images, 22.763409 hours left
 1648: 3.137980, 3.191427 avg loss, 0.000062 rate, 21.738029 seconds, 843776 images, 22.798261 hours left
 1656: 3.121024, 3.184386 avg loss, 0.000063 rate, 21.732449 seconds, 847872 images, 22.833069 hours left
 1664: 3.178894, 3.183837 avg loss, 0.000064 rate, 21.686367 seconds, 851968 images, 22.866978 hours left
 1672: 3.143752, 3.179829 avg loss, 0.000065 rate, 21.932430 seconds, 856064 images, 22.899509 hours left
 1680: 3.090114, 3.170857 avg loss, 0.000066 rate, 21.961350 seconds, 860160 images, 22.934191 hours left
 1688: 3.060445, 3.159816 avg loss, 0.000068 rate, 25.598230 seconds, 864256 images, 22.968387 hours left
 1696: 3.215848, 3.165419 avg loss, 0.000069 rate, 25.043520 seconds, 868352 images, 23.045314 hours left
 1704: 3.056000, 3.154477 avg loss, 0.000070 rate, 25.158130 seconds, 872448 images, 23.114271 hours left
 1712: 3.033256, 3.142355 avg loss, 0.000072 rate, 25.100495 seconds, 876544 images, 23.183350 hours left
 1720: 2.812598, 3.109380 avg loss, 0.000073 rate, 24.855549 seconds, 880640 images, 23.250493 hours left
 1728: 3.005966, 3.099038 avg loss, 0.000074 rate, 24.762621 seconds, 884736 images, 23.313495 hours left
